it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:145041965290042 Diff:815853246723 DC:15
TimeStamp:145856339499204 Diff:814261126204 DC:15
TimeStamp:146671443598225 Diff:814995059591 DC:15
TimeStamp:147491206735790 Diff:819650421818 DC:15
TimeStamp:148311543774265 Diff:820234777724 DC:15
TimeStamp:149129272693908 Diff:817628620556 DC:15
TimeStamp:149945078274119 Diff:815715910410 DC:15
TimeStamp:150752554411424 Diff:807356736034 DC:15
TimeStamp:151562280983613 Diff:809653971990 DC:15
TimeStamp:152377622507083 Diff:815243744376 DC:15
TimeStamp:153195221081245 Diff:817468396961 DC:15
TimeStamp:154009885961052 Diff:814554236909 DC:15
TimeStamp:154826637027852 Diff:816647207389 DC:15
TimeStamp:155642561926396 Diff:815771465648 DC:15
TimeStamp:156454153058414 Diff:811446418430 DC:15
TimeStamp:157261772063035 Diff:807507311175 DC:15
TimeStamp:158081643699130 Diff:819741859761 DC:15
TimeStamp:158895697234525 Diff:813890473878 DC:15
TimeStamp:159712702890334 Diff:816899426054 DC:15
TimeStamp:160527966477326 Diff:815149194455 DC:15
TimeStamp:161341125497543 Diff:813017487722 DC:15
TimeStamp:162149327375403 Diff:808108908569 DC:15
TimeStamp:162960612788337 Diff:811200010233 DC:15
TimeStamp:163773718035882 Diff:813014592104 DC:15
TimeStamp:164583728727215 Diff:809917517101 DC:15
TimeStamp:165389085745732 Diff:805272205998 DC:15
TimeStamp:166203467223388 Diff:814282253758 DC:15
TimeStamp:167020148453387 Diff:816564520607 DC:15
TimeStamp:167840924329441 Diff:820670711872 DC:15
TimeStamp:168657440463538 Diff:816413214650 DC:15
TimeStamp:169476129133904 Diff:818583220709 DC:15
TimeStamp:170296535721902 Diff:820316725877 DC:15
TimeStamp:171114692022862 Diff:818019453861 DC:15
TimeStamp:171933476493229 Diff:818743087310 DC:15
TimeStamp:172751296017228 Diff:817762035344 DC:15
TimeStamp:173575125146370 Diff:823784325794 DC:15
TimeStamp:174388333313362 Diff:813182150904 DC:15
TimeStamp:175199307631267 Diff:810942108512 DC:15
TimeStamp:176009653164942 Diff:810293097026 DC:15
TimeStamp:176814176981099 Diff:804393920224 DC:15
TimeStamp:177623562865019 Diff:809334155249 DC:15
TimeStamp:178432142480995 Diff:808446968064 DC:15
TimeStamp:179246198561024 Diff:814025179013 DC:15
TimeStamp:180059773545962 Diff:813459567696 DC:15
TimeStamp:180878102668679 Diff:818190801966 DC:15
TimeStamp:181700454305431 Diff:822228603037 DC:15
TimeStamp:182524375500561 Diff:823841891978 DC:15
TimeStamp:183344462315691 Diff:820046065527 DC:15
TimeStamp:184158488050629 Diff:813929259413 DC:15
TimeStamp:184977759914567 Diff:819169356176 DC:15
TimeStamp:185796556421161 Diff:818666305353 DC:15
TimeStamp:186611176405066 Diff:814514181461 DC:15
TimeStamp:187426534842479 Diff:815265341311 DC:15
TimeStamp:188234134492496 Diff:807506004601 DC:15
TimeStamp:189043313060264 Diff:809101672222 DC:15
TimeStamp:189852607834988 Diff:809206410896 DC:15
TimeStamp:190656732624407 Diff:803977248126 DC:15
TimeStamp:191471351966444 Diff:814585558024 DC:15
TimeStamp:192289562969222 Diff:818084265701 DC:15
TimeStamp:193106482632148 Diff:816808889010 DC:15
TimeStamp:193926470091761 Diff:819858507250 DC:15
TimeStamp:194740401908429 Diff:813821982115 DC:15
TimeStamp:195553935275319 Diff:813414772161 DC:15
TimeStamp:196369571068823 Diff:815561421557 DC:15
TimeStamp:197188486608275 Diff:818858895803 DC:15
TimeStamp:198008635399126 Diff:820079769006 DC:15
TimeStamp:198827235922024 Diff:818482895779 DC:15
TimeStamp:199645715159516 Diff:818354691661 DC:15
TimeStamp:200467263296530 Diff:821422174626 DC:15
TimeStamp:201282475933747 Diff:815098758535 DC:15
TimeStamp:202096476555299 Diff:813906107691 DC:15
TimeStamp:202910721132367 Diff:814142165466 DC:15
TimeStamp:203724383108449 Diff:813595954429 DC:15
TimeStamp:204540449492610 Diff:815977812988 DC:15
TimeStamp:205356760460332 Diff:816189418477 DC:15
TimeStamp:206172796080505 Diff:815941510785 DC:15
TimeStamp:206988461496097 Diff:815537467500 DC:15
TimeStamp:207789839252145 Diff:801285488725 DC:15
TimeStamp:208600625959486 Diff:810679079059 DC:15
TimeStamp:209407872288214 Diff:807148716712 DC:15
TimeStamp:210214316467651 Diff:806356518779 DC:15
TimeStamp:211026224933679 Diff:811825434272 DC:15
TimeStamp:211835797223158 Diff:809480105094 DC:15
TimeStamp:212644570468713 Diff:808669244308 DC:15
TimeStamp:213457599046688 Diff:812945058808 DC:15
TimeStamp:214272910180593 Diff:815218226517 DC:15
TimeStamp:215075704583791 Diff:802741633595 DC:15
TimeStamp:215884448926054 Diff:808615475843 DC:15
TimeStamp:216695898842304 Diff:811359230759 DC:15
TimeStamp:217513666725979 Diff:817662307207 DC:15
TimeStamp:218336197795488 Diff:822436392176 DC:15
TimeStamp:219153531129118 Diff:817242454016 DC:15
TimeStamp:219966149688666 Diff:812514343744 DC:15
TimeStamp:220764826553118 Diff:798582729822 DC:15
TimeStamp:221575267390969 Diff:810364676727 DC:15
TimeStamp:222383209100737 Diff:807838474195 DC:15
TimeStamp:223192433547643 Diff:809098231497 DC:15
TimeStamp:224003747482835 Diff:811263266084 DC:15
TimeStamp:224813394170104 Diff:809509855195 DC:15
TimeStamp:225727422895569 Diff:808583746649 DC:15
TimeStamp:226539106405494 Diff:811617115652 DC:15
TimeStamp:227347692125226 Diff:808561341369 DC:15
TimeStamp:228158082653968 Diff:810231568449 DC:15
TimeStamp:228971002195518 Diff:812856521291 DC:15
TimeStamp:229769010401193 Diff:797931166490 DC:15
TimeStamp:230579611209017 Diff:810563962918 DC:15
TimeStamp:231387246831889 Diff:807551083207 DC:15
